author	title	publication_date	link	path	filename	document_id	entity_linking
Le Breton, Guillaume	Adonis , tragédie françoyse de Gabriel Le Breton,... seigneur de La Fon. Reveu & corrigé de nouveau par le mesme autheur	1611	http://catalogue.bnf.fr/ark:/12148/cb307625371	../TheatreLFSV2-downloaded/NER/bpt6k5628858f.tar.gz.tei_segmented_ner.xml	bpt6k5628858f.tar.gz.tei_segmented_ner.xml	bpt6k5628858f	spacy_entity_fishing
Chevreau, Urbain	Coriolan, tragédie	1662	http://catalogue.bnf.fr/ark:/12148/cb44729556t	../TheatreLFSV2-downloaded/NER/bpt6k10901215.tar.gz.tei_segmented_ner.xml	bpt6k10901215.tar.gz.tei_segmented_ner.xml	bpt6k10901215	spacy_entity_fishing
Saintonge, Louise-Geneviève de	Circé, tragédie en musique représentée par l'Académie royale de musique	1694	http://catalogue.bnf.fr/ark:/12148/cb33302280t	../TheatreLFSV2-downloaded/NER/bpt6k5695597h.tar.gz.tei_segmented_ner.xml	bpt6k5695597h.tar.gz.tei_segmented_ner.xml	bpt6k5695597h	spacy_entity_fishing
Perrin, Pierre	Première comédie française en musique, représentée en France . Pastorale mise en musique par M. Camber...	1659	http://catalogue.bnf.fr/ark:/12148/cb33547450t	../TheatreLFSV2-downloaded/NER/bpt6k57346959.tar.gz.tei_segmented_ner.xml	bpt6k57346959.tar.gz.tei_segmented_ner.xml	bpt6k57346959	spacy_entity_fishing
Quenel, Léon	Selidore ou l'amante victorieuse tragicomédie pastorale / fait par Léon Quenel	1639	http://catalogue.bnf.fr/ark:/12148/cb38769970r	../TheatreLFSV2-downloaded/NER/bpt6k8529230.tar.gz.tei_segmented_ner.xml	bpt6k8529230.tar.gz.tei_segmented_ner.xml	bpt6k8529230	spacy_entity_fishing
Montfleury	La femme juge et partie . Comedie. Par A. J. Montfleury	1669	http://catalogue.bnf.fr/ark:/12148/cb30971162f	../TheatreLFSV2-downloaded/NER/btv1b86221039.tar.gz.tei_segmented_ner.xml	btv1b86221039.tar.gz.tei_segmented_ner.xml	btv1b86221039	spacy_entity_fishing
Chevalier, Jean	Les barbons amoureux, et rivaux de leurs fils. Comedie	1663	http://catalogue.bnf.fr/ark:/12148/cb30235334p	../TheatreLFSV2-downloaded/NER/bpt6k1520228p.tar.gz.tei_segmented_ner.xml	bpt6k1520228p.tar.gz.tei_segmented_ner.xml	bpt6k1520228p	spacy_entity_fishing
	Saint Hermenegilde, tragédie	1660	http://catalogue.bnf.fr/ark:/12148/cb44729150n	../TheatreLFSV2-downloaded/NER/bpt6k1090053s.tar.gz.tei_segmented_ner.xml	bpt6k1090053s.tar.gz.tei_segmented_ner.xml	bpt6k1090053s	spacy_entity_fishing
Mairet, Jean	La Sylvie du sieur Mairet . Tragi-comédie pastorale...	1628	http://catalogue.bnf.fr/ark:/12148/cb30862843z	../TheatreLFSV2-downloaded/NER/bpt6k65466206.tar.gz.tei_segmented_ner.xml	bpt6k65466206.tar.gz.tei_segmented_ner.xml	bpt6k65466206	spacy_entity_fishing
Nanteuil, Denis Clerselier de	Le Comte de Rocquefoeuilles, ou le Docteur extravagant, comédie	1672	http://catalogue.bnf.fr/ark:/12148/cb44729534h	../TheatreLFSV2-downloaded/NER/bpt6k1090097z.tar.gz.tei_segmented_ner.xml	bpt6k1090097z.tar.gz.tei_segmented_ner.xml	bpt6k1090097z	spacy_entity_fishing
